input_word,target_word
ხდებაო,ხდებაო
ფილებბით,ფილებით
ცოიჩ,დოიჩ
მეცცნერი,მეცნერი
სახელზე,სახელზე
მჰსტიკური,მისტიკური
გრაფიკის,გრაფიკის
დასვკნასაც,დასკვნასაც
გარდას,გარდას
მტერთა,მტერთა
სჩანს,სჩანს
არაბისტი,არაბისტი
უკომპრომისოდ,უკომპრომისოდ
დაუჭრიოს,დაუჭიროს
მიუძღვა,მიუძღვნა
შტრარუს,შტრაუს
უმნიშვნელობამ,უმნიშვნელობამ
კიტოხი,კიტოხი
სრნ,სენ
გეშლებათ,გეშლებათ
დოგმატურია,დოგმატურია
ემსახურება,ემსახურება
კოსციუშკო,კოსციუშკო
აქქ,აქ
ძმლეოსბობაში,მძლეოსნობაში
ქიოსემ,ქიოსემ
სტმრობაზე,სტუმრობაზე
ასახვსა,ასახვას
ომდერნიზმში,მოდერნიზმში
კეერპის,კერპის
რეიჩეიი,რეიჩელი
შედეგებზე,შედეგებზე
დაებების,დაბერების
ლპიაშვილი,ლაპიაშვილი
შეეგეოდა,შეერეოდა
მტევნამეე,მტევნამდე
ზღვმაფე,ზღვამდე
შაგვარეულოთაა,საგვარეულოთა
ონჟე,ონზე
გაძლიერებაზ,გაძლიერებაზე
გვახვევაი,გვახვევია
დაზიანებულ,დაზიანებულ
გაიტწცეს,გაიტაცეს
მულისგან,მუხლისგან
ფიასა,ფიალას
ნეობრივი,ზნეობრივი
გეერმოგენი,გერმოგენი
დმახრჩვქლი,დამხრჩვალი
საფანგეტი,საფანგეთი
სპილპს,სპილოს
აიზეიი,აიზელი
კონცეპციიდან,კონცეპციიდან
ბიირ,ბირ
ჩანდელი,ჩადენლი
მესტვირე,მესტვირე
პროკუურო,პროკურორ
კკარმანი,კარმანი
ვასლაისა,ვასალისა
მადლობაშ,მადლობას
მალე,მალე
დააბრუნებდა,დააბრუნებდა
ხვდებით,ხვდებით
არაგონელი,არაგონელი
ტოპონომშიაა,ტოპონომშია
ულსოი,ულუსოი
უბიძძგებთ,უბიძგებთ
პირობაად,პირობად
ნეიროპთაოლოგი,ნეიროპათოლოგი
დღეზე,დღეზე
ახარს,ახმარს
ბურუზაზიაც,ბურჟუაზიაც
ბასილის,ბასილის
რაახონ,რახმონ
ჩემპონიი,ჩემპიონი
თდორობა,თედორობა
მამეშვვილი,მამეიშვილი
გააფიცეხბს,გააფიცხებს
ნათწსავებისთვის,ნათესავებისთვის
ცეტრალურ,ცეტრალურ
მონელებას,მონელებას
ბარემ,ბარემ
დახოცილესბ,დახოცილებს
ბესარაბიისა,ბესარაბიისა
კქსრისხევი,კასრისხევი
მართლწერის,მართლწერის
დამოყვრებულ,დამოყვრებულ
ცარა,ცარა
პარკოაანი,პარკოსანი
კმოპონენტებთან,კომპონენტებთან
საოკეანო,საოკეანო
ხარისხითაც,ხარისხითაც
ჰანოვრესა,ჰანოვერსა
ჰოტანა,უოტანა
ტერინში,ტერმინში
ღეერძული,ღერძული
პორგრესულ,პროგრესულ
ნზორზე,ნაირზე
დსკირვებების,დაკვირვებების
სულოევი,სულოევი
აიღონ,აიღონ
კოცია,კოცია
ზზამბახებით,ზამბახებით
სადღურშში,სადგურში
ბენედიქტე,ბენედიქტე
ოსლარ,სოლარ
თაიშური,თალიშური
დაღმა,დაღმა
მენაახირის,მენახირის
უწმინდრუ,უწმინდურ
ჯეინ,ჯეინ
ლოთარინგისი,ლოთარინგიის
შუქრა,შუქურა
პროექცეიბი,პროექციები
გამტტარბის,გამტარობის
საფრაანგეთისვის,საფრანგეთისვის
უჩნდა,უჩნდა
ერრა,ერთა
აკაკუნრბდა,აკაკუნებდა
მომსხაურებას,მომსახურებას
რადოენოიბდან,რაოდენობიდან
ნაგელუსი,ნაგელუსი
შპიგეელი,შპიგელი
უძღვებოეა,უძღვებოდა
გახნილვისას,განხილვისას
სათქმეელი,სათქმელი
დააწია,დააწია
გვეტთვის,გვეტყვის
რეიგანი,რეიგანი
სპარტაკ,სპარტაკ
ტყვიამფრქვვეებისსა,ტყვიამფრქვევებისა
სავალე,სათვალე
კარვერმა,კარვერმა
მგზავრების,მგზავრების
შავდიიებმა,შავდიებმა
ელიზჰარის,ელიზბარის
პირობეით,პირობეით
დამქაშს,დამქაშს
ჩაპმან,ჩაპმან
ამოუცნობმა,ამოუცნობმა
ებჰარტ,გებჰარტ
შეგიყვარდება,შეგიყვარდება
ურო,ურო
ჭანკოტაძე,ჭანკოტაძე
დივერშათა,დივერსიათა
ჩაყრილებიი,ჩაყრილები
არპდ,არპად
ნეეოლითისა,ენეოლითისა
დადებული,დადებული
მმხარდაჭერით,მხარდაჭერით
იმდღევანდელ,იმდღევანდელ
გაამოვართვი,გამოვართვი
ოაეტსი,ოატესი
ფიგურირებდესს,ფიგურირებდეს
დათსათან,დათასთან
მიმავილებბდა,მიმახვილებდა
აკზაკისა,კაზაკისა
მატარებლები,მატარებლები
ტემპია,ტემპია
დააროშვინა,დააროშვინა
ზოამდეა,ზომამდეა
რეკომენდებულ,რეკომენდებულ
პეტრიკეიკუ,პეტრიკეიკუ
ონკლოოგი,ონკოლოგი
სიერაი,სიერაში
მიწილადება,მიწილადება
გაიხნეე,გაიხსენე
ღვთაებებთნა,ღვთაებებთან
მოწმაე,მოწამე
მკვლეიად,მკვლელად
ყოროლისთვის,ყოროლისთავის
გაწვლის,გაცვლის
მოუგონია,მოუგონია
ათლედები,ათწლედები
ამოყაარეს,ამოყარეს
უნის,უნიას
ფორტგუალიურთან,პორტუგალიურთან
სუმერთა,შუმერთა
მეკისა,მეკისრა
გევი,გევრი
ბეჩუნი,ბეჩუნი
მახე,მახე
ჩაედინებიან,ჩაედინებიან
ძვლის,ძვლის
შეიტადნა,შეიტანდა
კრაელია,კარელია
ბუფალლოში,ბუფალოში
ცცუ,ცუ
ტრალი,ტრიალი
აბლანჩინი,ბალანჩინი
მონდტა,მონეტა
გარდელა,გარდელა
იინციატივით,ინიციატივით
საგახშმოდ,სავახშმოდ
ადოები,ასოები
წოდებითთი,წოდებითი
ხარჩოს,ხარჩოს
ფუნაირა,ფუჯაირა
კეეცხოველის,კეცხოველის
ორბიტდრ,ორბიტერ
ქონიუნქტურისა,კონიუნქტურისა
ჩახფაკულ,ჩახრაკულ
ადმინისტტაციისააგნ,ადმინისტრაციისაგან
აღიკვეს,აღიქვეს
დაადექით,დაადექით
ელეფთერი,ელეფთერი
ნახიჭევანი,ნახიჩევანი
აწინკნური,აწინკნური
წვერზე,წვერზე
გარეგნობის,გარეგნობის
საჭრეტში,საჭვრეტში
მაია,მაია
მედიცნიიშ,მედიცინის
საითმე,საითმე
ანდიაშვილი,ანდრიაშვილი
დაბინავა,დააბინავა
ოჰრიზონტალისა,ჰორიზონტალისა
გაჯეგო,გამეგო
ხლისტებიო,ხლისტებიო
კაციანი,კაციანი
პაარმეტრები,პარამეტრებში
წაუკითხე,წაუკითხეს
რეზერვლი,რეზერვში
დეკანოოსიძე,დეკანოსიძე
ამადეუსის,ამადეუსის
ჩხაიძე,ჩხაიძე
თავხივა,თავხვია
ავიცმევთ,ჩავიცმევთ
ბოძებულ,ბოძებულ
დააჩნდდა,დააჩნდა
მიერთებას,მიერთებას
მზარმა,მზარდმა
ჩაბარდნენ,ჩაბარდნენ
ნორმანთა,ნორმანთა
არბაალი,არაბალი
ჩჩაგვბარდი,ჩაგვბარდი
პემიას,პრემიას
გადარაჩ,გადარჩა
რჩევებს,რჩევებს
უზღაპრებოდ,უზღაპრებოდ
ძვვეერა,ძევერა
ფგო,ფოგ
თურქულთან,თურქულთან
ხიდს,ხიდს
ერთმაბეთისაგნაც,ერთმანეთისგანაც
ბურგნუდიელებმა,ბურგუნდიელებმა
რლეელი,ელეელი
ხუდი,ცუდის
ელშენნ,ელშენ
ყალთაბანდის,ყალთაბანდის
ჰინდუშახ,ჰინდუშაჰ
ურდდოს,ურდოს
მონდტების,მონეტების
გაწევვის,გაწვევის
ბბაღი,ბაღი
ნეუმაანი,ნეუმანი
აბათილებდა,აბათილებდა
შეჭრისთივს,შეჭრისთვის
ლა,ლა
ანეტო,ანეტო
სენატთან,სენატთან
ფერშლად,ფერშლად
არსებბაც,არსებობაც
ფიჭვისა,ფიჭვისა
ნლე,ნელ
ვალარშმა,ვალარშმა
მოვითქვით,მოვითქვით
აბრააგობა,აბრაგობა
ემვენიოსი,ევმენიოსი
ჰააბსბურგებმა,ჰაბსბურგებმა
აღაპია,აღაპია
უხვედეიი,უხვედრი
შესწავლამ,შესწავლამ
მოგვეფლინა,მოგვევლინა
გაიზდა,გაიზრდა
გამნაცვიფრა,განმაცვიფრა
ფეჰლევიანების,ფეჰლევიანების
ეგდდა,ეგდა
უწყობს,უწყობს
ძლიერის,ძლიერის
ითარგნება,ითარგმნება
კრუნჩხვასა,კრუნჩხვასა
ძელქორები,ძელქორები
რუსოს,რუსოს
საკის,საკის
სნედოცონო,სამედოცონო
გმაოუმზეურებელი,გამოუმზეურებელი
მლველიძე,მშველიძე
გლოგოვსკიმ,გლოგოვსკიმ
თავიქნთ,თავიანთ
სსაზეეიმოდ,საზეიმოდ
სინგაპურლ,სინგაპური
უზრუნვველყოფის,უზრუნველყოფის
წინარეხსი,წინარეხის
საჭიტონი,საჭირონი
აბულეთისძენი,აბულეთისძენი
შეუფერხბლად,შეუფერხებლად
ტრადიციონალისტები,ტრადიციონალისტები
ამომიჩემე,ამომიჩემე
დქკ,ქდკ
იინნიიშ,იინიში
გიზია,გიჟია
ადწნახვეს,დაანახვეს
რდგიომონტანუსი,რეგიომონტანუსი
ტავერნეი,ტავერნიე
სამთთავფოებად,სამთავროებად
დარგვევები,დარღვევები
პაეანი,პაემანის
ერთგლუებდა,ერთგულებდა
მიიტაცა,მიიტაცა
ხაჟარაძე,ხაზარაძე
კნხცი,კონცხი
სადგურთა,სადგურთა
სოციალისტო,სოციალისტი
სერვისსი,სერვისის
გადმომდგარივნენ,გადმომდგარიყვნენ
ღაიაზერბა,გაიაზრება
კკერპთაყვანისმცემერ,კერპთაყვანისმცემელ
ლეიტ,პლეიტ
ელექტრონი,ელექტრონი
გგანვლილ,განვლილ
შამოფიო,ჩამოდიო
პტენციშაი,პოტენციაში
მრაავლძალის,მრავალძალის
დემშტი,დემოტი
ისტოროიგრაფიული,ისტორიოგრაფიული
საყრასნპ,სატრანსპ
მორრსაც,მეორესაც
კრეას,კრებას
გრძნობამიხდილ,გრძნობამიხდილ
დრაგუტინი,დრაგუტინი
მამასახლისმა,მამასახლისმა
შშეწრვა,შეწირვა
ტოგიაზე,გოგიაზე
აკოლტის,აკოლტის
ტიომკინი,ტიომკინი
საბნააოდ,საბანაოდ
ამღოჩენებტან,აღმოჩენებთან
უაფლმ,უფალმა
დაადასთურეს,დაადასტურეს
ოეთავე,ორთავე
სამალავისკენ,სამალავისკენ
სიმონმა,სიმონმა
აბშლტინია,აბოლტინია
სიმკაცრესა,სიმკაცრესა
გამოიწევვს,გამოიწვევს
ურსულიდან,რუსულიდან
საჩაიეშიც,საჩაიეშიც
ინადაგცი,ნიადაგიც
მრავზლმნიშვნელოვანი,მრავალმნიშვნელოვანი
დაარსების,დაარსების
ხოლაკას,ცოლაკას
შეიპყარი,შეიპყარი
იონსაი,იონასი
სპელეოლოგიან,სპელეოლოგიამ
აუცილეგლობით,აუცილებლობით
მემკვიდრეობაა,მემკვიდრეობაა
ინტრმუენტების,ინსტრუმენტების
მუამნა,მუმანა
ეპოქისადმი,ეპოქისადმი
სკნელლლი,სკნელში
კოხს,კოხს
თვაჯიერებაში,თვალიერებაში
მმმკურნალა,მემკურნალა
რიაიდ,რიადი
წავოყფთ,წავყოფთ
სტუდიები,სტუდიები
ერიბდეოდა,ერიდებოდა
ფირდოუსი,ფირდოუსი
დნება,დნება
ღონეიმხდილს,ღონემიხდილს
დაუგვიანეს,დაუგვიანეს
სამგზავრო,სამგზავრო
დაავადებაათ,დაავადებათა
სამელ,სასმელ
ეშვასრულებდით,შევასრულებდით
დაცეა,დაეცა
ჩუხს,ჩიხს
ფედერაციამ,ფედერაციამ
ჯუუნ,ჯუნ
ტაბატძეს,ტაბატაძეს
აბბახანისაკენ,ბაბახანისაკენ
ექსპერიმენტი,ექსპერიმენტი
ენრელი,ენთელი
ნაამყოფის,ნამყოფის
აფიშა,აფიშა
ამფლლიპქე,ამფლიოქე
ბაირამოვი,ბაირამოვი
ვყოპილვარო,ვყოფილვარო
დამკარგება,დამეკარგება
სამააგიეროს,სამაგიეროს
ეზოფაგოსკოოპიას,ეზოფაგოსკოპიას
წალასლაშდა,წალასლასდა
მათთანაც,მათთანაც
მრაავალფეროვნა,მრავალფეროვან
ბუნებისმეცნიერებასა,ბუნებისმეცნიერებასა
კონსოლიდირებული,კონსოლიდირებული
ერვანდას,ერვანდას
კკკანონმდებლებისთვის,კანონმდებლებისთვის
ხანგცრლივობაა,ხანგრძლივობაა
გულუბრყვილობასა,გულუბრყვილობასა
აპულრუსი,აპულეუსი
ანატნტის,ანტანტის
რეპეტრუარში,რეპერტუარში
გაიი,გაილი
ჰაბეაწ,ჰაბეას
გაგიკაშენი,გაგიკაშენი
ბუდიზმის,ბუდიზმის
მოლოდინების,მოლოდინების
ასახვდენნ,ასახავდნენ
რესტორანლ,რესტორანი
ადასასვლელად,გადასასვლელად
ბოტანიკოსი,ბოტანიკოსი
ყიდდე,ყიდე
წარეცხვვა,წარეცხვა
გახდეობდითო,გახდებოდითო
აპრილს,აპრილს
ორკესტრებისსთვის,ორკესტრებისთვის
განდევნლი,განდევნილ
დისენის,დისნეის
ლუქსოორთან,ლუქსორთან
საგზური,საგზური
ნარ,მარ
ლოლჩილი,მორჩილი
კერივნი,კელვინი
ბავარილუ,ბავარიულ
მიმიშვენსნ,მიმიშვებენ
ანფრიას,ანდრიას
კუზიანიი,კუზიანი
დაუბრუნებიქ,დაუბრუნებია
ანაიტიზმი,ანალიტიზმი
გეელათიშ,გელათში
შეველიხინს,შეველიხინს
მოოსაცემად,მოსაცემად
აიძულა,აიძულა
ოფიციალურ,ოფიციალურ
გამოთვლილი,გამოთვლილი
რატიშვილი,რატიშვილი
ნახევარსფრეო,ნახევარსფერო
ზარბზანიც,ზარბაზანიც
შნაი,შანი
მისცცენ,მისცენ
ღაწვეებს,ღაწვებს
ბიჭებოოო,ბიჭებოო
მატისი,მატისი
აღთთქმით,აღთქმით
ურჰაეცი,ურჰაეცი
განვითარებულმა,განვითარებულმა
ნგაასი,მაგასი
ზაბლეი,ზაბელი
დმინარეებს,მდინარეებს
თავისუფლადაო,თავისუფლადაო
გადავასწრებდოი,გადავასწრებდიო
კატალანურრიც,კატალანურიც
უქრთისა,ქურთისა
არსაებულზე,არსებულზე
ფიორა,ფიორა
იმგვარად,იმგვარად
ნარატიული,ნარატიული
ასაგებად,ასაგებად
მაგიდებს,მაგიდებს
გღავივება,გაღვივება
მომპარავოენ,მომპარავენო
ფიზელზზე,ფხიზელზე
ქაბლუად,ქვაბულად
დგუშს,დგუშს
ბაიოი,ბაიონი
ნიკოლაი,ნიკოლაი
აქრიიექიურული,არქიიექიურული
ინჟინრეს,ინჟინრებს
აჟრისა,აზრისა
ოპარული,მოპარული
არაჩოულებრივი,არაჩოულებრივი
ჟერმენში,ჟერმენში
წორა,ქორა
წამებიც,წამლებიც
მიქარრავ,მიქარავ
შლანგები,შლანგები
ხელჩასანქევი,ხელჩასაქნევი
შვილიდან,შვილიდან
მსხდომნი,მსხდომნი
ოხხუნჯბისა,ოხუნჯობისა
მიჭრეენ,მიჭერენ
ქქართთველებიც,ქართველებიც
გადაუხადო,გადაუხადო
დრამა,დრამია
ჩაის,ჩაის
ეგერია,ეგეთია
მეულღე,მეუღლე
ნაკრბები,ნაკრებები
ნოვაია,ნოვაია
წგინაკი,წიგნაკი
ნაჭრწბოც,ნაჭრებიც
ათქმელს,სათქმელს
დკეანოზები,დეკანოზები
სლუგუნის,სულგუნის
ნხისა,ხნისა
გო,გო
ეფეს,თეფეს
ოტერლო,ოტერლო
სევასტოპოლმაა,სევასტოპოლმა
ცრიზზმის,ცარიზმის
კრებულს,კრებულს
ნუსხა,ნუსხაა
ნახიჩვეანსკი,ნახიჩევანსკი
ანკეტასა,ანკეტასა
ლვირების,კვირების
ინფექსს,ინდექსს
გაერთიაჰებულ,გაერთიანებულ
გამორჩეულებო,გამორჩეულები
სპეცსამსახურებმა,სპეცსამსახურებმა
ასარხაოდნისაგან,ასარხადონისაგან
აჩიეჩა,აიჩეჩა
გამჭრიაჰობისა,გამჭრიახობისა
ღვინეაში,გვინეაში
მაცი,მანცი
გაუცვალა,გაუცვალა
მომმწამლავვი,მომწამლავი
ინგუშური,ინგუშური
დაბაი,დაბაში
ცვლადიშ,ცვლადის
უაარა,აუარა
საფწრით,საფარით
წქრმოვიჩენს,წარმოგვიჩენს
კაპოდისტრიასი,კაპოდისტრიასი
ნალექით,ნალექით
ჰადელბერგის,ჰაიდელბერგის
დაბრუნდები,დაბრუნდები
გადმოგებული,გადმოღებული
შამანარუი,შამანაური
სთ,სთ
გადაჰქონდა,გადაჰქონდა
დოკუმენტეები,დოკუმენტები
ესრონური,ესტონური
ოლნ,ლონ
ეკლესიაა,ეკლესიაა
მებაირატხრე,მებაირახტრე
ახვეა,ახველა
რთველი,რთველი
მოხსენებით,მოხსენებით
როგორც,როგორც
რიგააში,რიგაში
იმაქვყ,მიაქვთ
შესსახლდება,შესახლდება
სყეიშენი,სტეიშენი
საცოდავებს,საცოდავებს
ქციამ,აქციამ
ტერუნაკწნი,ტერუნაკანი
მბრძანებელ,მბრძანებელ
ჩაპაევია,ჩაპაევკა
ღანათლებისა,განათლებისა
ფიზიკურისაგან,ფიზიკურისაგან
ვანდემიერის,ვანდემიერის
განმმარტავს,განმარტავს
ზოლის,ზოლის
დუშანნბეს,დუშანბეს
იოკაიმ,იოაკიმ
გოგიასაწ,გოგიასაც
მინსკისა,მინსკისა
აფეთქებული,აფეთქებული
გართულებეის,გართულებების
შავსსაყდრების,შავსაყდრების
ერეკუტსი,ერექტუსი
ვირტი,ვირტი
ფეხწაკვთეილმა,ფეხწაკვეთილმა
ინგლისელებუსა,ინგლისელებისა
ალექსანდლიის,ალექსანდრიის
ჯჯონმა,ჯონმა
ზინალდა,ზინაიდა
უპრენცენდეჯტტოა,უპრენცენდენტოა
ინტფრვიკი,ინტერვიკი
ნეიორპათოლოგი,ნეიროპათოლოგი
ნიქოზი,ნიქოზია
თელა,თელა
ინჟექტორის,ინჟექტორის
გაჩუინარდნენ,გაუჩინარდნენ
ბაკური,ბაკურია
ყბლთ,ყბით
ავტონომი,ავტონომია
სწავრის,სწავლის
დავშშორდით,დავშორდით
წამებულების,წამებულების
მოვლინებისა,მოვლინებისა
გაშუქებაზეა,გაშუქებაზეა
სატურნის,სატურნის
რაოდფნობრიი,რაოდენობრივი
გრდემლსს,გრდემლს
კულტოროლოგი,კულტოროლოგი
ბერძნნულ,ბერძნულ
პიჩინჩის,პიჩინჩის
უკიდუურესობების,უკიდურესობების
გახრწნჰი,გახრწნილი
მცხეთსოს,მცხეთოსს
პრასყი,პრასტი
ხანეშბიც,ხანებშიც
იძულებული,იძულებული
სიიბრძნისა,სიბრძნისა
ქოქოლასავი,ქოქოლასავით
გამოიღებდქ,გამოიღებდა
ომრნინგ,მორნინგ
ვიპოივდდი,ვიპოვიდი
იდეებს,იდეებს
ამოიყვნე,ამოიყვანე
კლუტუურებისა,კულტურებისა
წინამძღვეის,წინამძღვრის
მერქნური,მერქნული
იალანცი,ალიანცი
ტანსი,ტანის
მიბავის,მიბაძვის
ერიტარული,ელიტარული
ავსტრაიის,ავსტრალიის
ეჩმ,ჩემ
ვიმხნევბე,ვიმხნევებ
ჰგავდნენ,ჰგავდნენ
ონიოს,გონიოს
ფარნეზე,ფარნეზე
შეგიძრია,შეგიძლია
ჰარმონიზაციას,ჰარმონიზაციას
ჭიმჭიმეილ,ჭიმჭიმელი
ღარიბი,ღარიბი
სსაბერძენთის,საბერძნეთის
ბერლინელი,ბერლინელი
ლენდისი,ლენდისი
ბეორუსული,ბელორუსული
ელმყოფს,ხელმყოფს
გიხარიათ,გიხარიათ
მუდმივა,მუდმივა
თელავში,თელავში
ტკვიილი,ტკივილი
ნნაცნობის,ნაცნობის
დაბლობებბისა,დაბლობებისა
მიუხლოვდნენ,მიუახლოვდნენ
მოკმლს,მომკლეს
დადგებოეა,დადგებოდა
კონტრამდირალი,კონტრადმირალი
ჩურჩუჯებდა,ჩურჩულებდა
შენაყრდდნენ,შენაყრდნენ
უაზრო,უაზრო
სამური,სამური
ციხქვაბი,ციხექვაბი
წამომსხარიყვნენ,წამომსხდარიყვნენ
ჩაიიდე,ჩაიდე
ფოტომაიტანე,ფოტომატიანე
გოჯიი,გოჯი
გიორგისდამი,გიორგისადმი
ბევლო,გევლო
ამასის,ჰამასის
ჯიხვზე,ჯიხვზე
ჯაივარდენეპურა,ჯაიავარდენეპურა
ამმირეჯიბი,ამირეჯიბი
ბზვარიიდან,ბავარიიდან
ისთეები,ისეთები
შშავშეის,შავშეთის
გნიაშვილი,გოგნიაშვილი
მონთოლივო,მონტოლივო
გვდიონნ,გვდიონ
ონიიფორე,ონისიფორე
ჯავისა,ჯავისა
გაშვევას,გაშვებას
აცოცებს,აცოცხლებს
ლინუსი,ლინუსი
საბაბ,საბაბი
ტურსიტებს,ტურისტებს
ათაბაგებმა,ათაბაგებმა
შწეირვის,შეწირვის
დოომინიკელი,დომინიკელი
პერანგისამარა,პერანგისამარა
მდიბანბეგ,მდივანბეგ
ჯარტყოფელი,მარტყოფელი
ხოლოდნაა,ხოლოდნაია
დატოვებს,დატოვებს
ელადერი,ელადელი
მასალიის,მასალიის
გარდაცვალებისა,გარდაცვალებისა
კუხიანიძე,კუხიანიძე
აშენბესი,აშენების
გიდიოჰმა,გიდიონმა
ეპიტნავებოდა,ეპიტნავებოდა
წინადადებით,წინადადებით
დრამმ,დრამ
ნესსიტი,ნესესიტი
ფოლიც,ცოლიც
ნპრმებთან,ნორმებთან
ხმასა,ხმასა
ვუგლარლუ,ვულგარულ
ყურთანნ,ყურთან
დაიჭორსო,დაიჭირაო
გავცივდ,გავცივდი
ვერმახტი,ვერმახტი
მუხას,მუხას
ნავთობჭაბურღლლი,ნავთობჭაბურღილი
ატრანუჯი,არტანუჯი
დაეხხეტებოდა,დაეხეტებოდა
შენახვისა,შენახვისა
ატსს,ტასს
წუღღებიც,წუღებიც
ღილის,ღილის
მოწაფსი,მოწაფის
საცხოვრებელში,საცხოვრებელში
მაოვკარი,ამოვკარი
ენთუზიაზმით,ენთუზიაზმით
გლაზუნოვი,გლაზუნოვი
აჩხაკუნებდაა,აჩხაკუნებდა
შრომისავრის,შრომისათვის
რმა,რაუმა
გააცოცხლს,გააცოცხლოს
ნაცნობობა,ნაცნობობა
მიხურდავებდა,მიხურდავებდა
რედაქტირებების,რედაქტირებების
ურასნა,ურანისა
ზგმოჰყავს,გამოჰყავს
ნამივიყ,ნამივით
გამოსზგზავნად,გამოსაგზავნად
მორჩილებისაან,მორჩილებისაგან
ოცდაექვსის,ოცდაექვსის
კლდეეზბე,კლდეებზე
ბაიებუ,ბაიები
კაპიკს,კაპიკს
ტექდტები,ტექსტები
შეთანხმებისკენ,შეთანხმებისკენ
ალექსია,ალექსია
თბლმავალი,თბომავალი
ესპანურად,ესპანურად
რრასელმა,რასელმა
ბიჭივით,ბიჭივით
თურქსეტანოვი,თურქესტანოვი
გადავდიე,გადავიდე
სმთსონი,სმითსონი
ღრბუელთ,ღრუბელთ
პრგეილ,პრეგლი
თბილისში,თბილისში
ლაყბონისგან,ლაყბობისგან
დაოკკებას,დაოკებას
გამოწყობილი,გამოწყობილი
ღმოცენებულ,აღმოცენებულ
გასართთობშ,გასართობს
ომოცდადხრა,ორმოცდაცხრა
ყინულლა,ყინულმა
კასარა,კასარა
სარცხინელს,სარცხვინელს
ზოუროსსი,ზოუროსი
კაციჭამიაას,კაციჭამიას
გადმოიწოსე,გადმოიწოდე
შედადანების,შედადიანების
რეჩბიან,რჩებიან
მოქმედებითაც,მოქმედებითაც
ამშინღა,მაშინღა
პსტა,ფსტა
კოცსა,კოცსაც
დვაშანტაპა,დავაშანტაპა
ანკეტსსა,ანკეტასა
ლინკოოლნშირს,ლინკოლნშირს
რიტმის,რიტმის
აკორდიდან,აკორდიდან
შემაფისრიანა,შემაფიქრიანა
ეზაღმავალი,ზეაღმავალი
გადიატანოთ,გადაიტანოთ
გააკეეთთო,გააკეთეთო
ჯემინნი,ჯემინი
მტკვლიდან,მტკვრიდან
კვისა,კლვისა
კოფიგურაცია,კონფიგურაცია
ცასების,ფასების
დაბრკოლებებზე,დაბრკოლებებზე
როლჩი,ორიჩი
განისუენეს,განისუენეს
ლეხურის,ლეხურის
შადრვანს,შადრევანს
რჯედების,უჯრედების
ძღინაკნი,ძღინკიანი
ჩვე,ჩვე
ირილის,ტირილის
რშკოსოვსკი,როკოსოვსკი
მფარველობისა,მფარველობისა
აახლისაგან,სახელისაგან
უფაავს,უფარავს
მშვნეეირის,მშვენიერის
გაგვატეხინა,გაგვატეხინა
შეაშლა,შეაშრა
დაიყივლლა,დაიყივლა
ადრე,ადრე
დანშნსვდა,დანიშნავდა
სააბაღღუა,საბაღუა
მტერბმა,მტრებმა
მოძღა,მოძღა
ჭოუაზ,ჭკუაზე
წყაროებია,წყაროებია
პიოლიტტე,იპოლიტე
ბუხარსაც,ბუხარსაც
გადაწმინად,გადაწმინდა
გააუმჯობედა,გააუმჯობედა
ოსო,ოსო
საჰერწეგოს,საჰერცეგოს
ანტიქართული,ანტიქართული
სიტუაციუური,სიტუაციური
სახურწვიანი,სახურავიანი
დაგვახოცინეთ,დაგვახოცინეთ
ანალიზზე,ანალიზზე
არასტაბიიურობის,არასტაბილურობის
რაიიხში,რაიხში
რომლებისთვისაც,რომლებისთვისაც
ეფესოელი,ეფესოელი
სმითსი,სმითის
მოქმედებიისა,მოქმედებისა
მინერალებით,მინერალებით
მზეო,მზეო
უხილა,უხილავ
აკლენსრიდან,კალენდრიდან
კულაგინთან,კულაგინთან
საქქმეო,საქმეო
დიმიტრიჩ,დიმიტრიჩ
მიასვსლებს,მიაშველებს
ევოთ,ევლოთ
დევაქტო,დეფაქტო
იჭრესს,იჭერს
სათავებთან,სათავებთან
წალში,წყალში
სალიტ,სალიტ
კოსტიონიკს,კოსტიონკის
კპაიტოლიუმი,კაპიტოლიუმი
იელოუსტონიშ,იელოუსტონის
ჰეორტოლოიურ,ჰეორტოლოგიურ
მოაკლდებოად,მოაკლდებოდა
შემოსასვლელში,შემოსასვლელში
შეომგესწრება,შემოგესწრებათ
ემკობრეები,მეკობრეები
იენა,იენა
ირწმუნებოდა,ირწმუნებოდა
იაებისა,იმაებისა
გაუქმებიტ,გაუქმებით
ომნაწიელობისათვის,მონაწილეობისათვის
ბოკი,ბოკი
სპარპეტი,სპარაპეტი
რეაძე,ერაძე
დენიძრო,დენძირო
თაეულზე,ათეულზე
იმპფრატორთან,იმპერატორთან
განზომილებებს,განზომილებებს
ოქსიდენტალი,ოქსიდენტალი
ლიცნზიანტი,ლიცენზიანტი
მასხაარების,მასხარების
